model,attribute,group,threshold,n,events,non_events,tp,fp,tn,fn,flagged_n,flagged_rate,small_event_count,small_non_event_count,tpr,tpr_ci_low,tpr_ci_high,fpr,fpr_ci_low,fpr_ci_high
gradient_boosting,age_band,[10-20),0.05,534,26,508,11,132,376,15,143,0.26779026217228463,False,False,0.4230769230769231,0.2554444331365656,0.6105138625340829,0.25984251968503935,0.2236097416447479,0.2996801447154014
gradient_boosting,age_band,[10-20),0.1,534,26,508,7,29,479,19,36,0.06741573033707865,False,False,0.2692307692307692,0.13704448322018375,0.4608304037917618,0.05708661417322835,0.04003831426430639,0.08078319746547737
gradient_boosting,age_band,[10-20),0.15,534,26,508,4,13,495,22,17,0.031835205992509365,False,False,0.15384615384615385,0.061500337235783575,0.3353119932821348,0.025590551181102362,0.01501516814699093,0.043286984416910784
gradient_boosting,age_band,[10-20),0.2,534,26,508,2,6,502,24,8,0.0149812734082397,False,False,0.07692307692307693,0.0213550884722762,0.24141553771629065,0.011811023622047244,0.0054240320881813325,0.025525900840646987
gradient_boosting,age_band,[10-20),0.25,534,26,508,1,5,503,25,6,0.011235955056179775,False,False,0.038461538461538464,0.006821984993543487,0.18892778903034763,0.00984251968503937,0.004211257564992802,0.02283121541596789
gradient_boosting,age_band,[20-30),0.05,1122,83,1039,58,531,508,25,589,0.5249554367201426,False,False,0.6987951807228916,0.593109725530978,0.7868931031655867,0.5110683349374399,0.4806884481151105,0.5413666781032217
gradient_boosting,age_band,[20-30),0.1,1122,83,1039,34,115,924,49,149,0.13279857397504458,False,False,0.40963855421686746,0.31012912673980514,0.5171423147617565,0.11068334937439846,0.09302171338704208,0.13121319484640664
gradient_boosting,age_band,[20-30),0.15,1122,83,1039,23,47,992,60,70,0.062388591800356503,False,False,0.27710843373493976,0.1923192775942012,0.38161694477631736,0.04523580365736285,0.03418695420586194,0.059635033780057765
gradient_boosting,age_band,[20-30),0.2,1122,83,1039,15,27,1012,68,42,0.0374331550802139,False,False,0.18072289156626506,0.11269365829519953,0.2769987683436512,0.02598652550529355,0.017920057168969813,0.037545189567676635
gradient_boosting,age_band,[20-30),0.25,1122,83,1039,9,12,1027,74,21,0.01871657754010695,False,False,0.10843373493975904,0.05810491519298118,0.19340466464711886,0.011549566891241578,0.00661902007726677,0.02007867072242475
gradient_boosting,age_band,[30-40),0.05,2692,188,2504,153,1419,1085,35,1572,0.5839524517087668,False,False,0.8138297872340425,0.7521076847520418,0.8629835511329473,0.5666932907348243,0.5471967549744075,0.5859855077341223
gradient_boosting,age_band,[30-40),0.1,2692,188,2504,64,292,2212,124,356,0.13224368499257058,False,False,0.3404255319148936,0.27649152967182444,0.41075021479343543,0.11661341853035144,0.10462528245088842,0.12977608161983914
gradient_boosting,age_band,[30-40),0.15,2692,188,2504,38,119,2385,150,157,0.05832095096582467,False,False,0.20212765957446807,0.1509529023486552,0.2652316873198297,0.04752396166134185,0.03986139700821417,0.05657271287942578
gradient_boosting,age_band,[30-40),0.2,2692,188,2504,28,69,2435,160,97,0.03603268945022288,False,False,0.14893617021276595,0.10509785397409482,0.2068339838494767,0.02755591054313099,0.021832098390273173,0.03472708254271718
gradient_boosting,age_band,[30-40),0.25,2692,188,2504,18,28,2476,170,46,0.017087667161961365,False,False,0.09574468085106383,0.06142293208841003,0.14625615389024804,0.011182108626198083,0.007747852869587385,0.016113886320590295
gradient_boosting,age_band,[40-50),0.05,6840,507,6333,393,4130,2203,114,4523,0.6612573099415204,False,False,0.7751479289940828,0.7368166757676704,0.8093410316433274,0.6521395862940155,0.6403200616925859,0.6637746537145155
gradient_boosting,age_band,[40-50),0.1,6840,507,6333,165,897,5436,342,1062,0.15526315789473685,False,False,0.3254437869822485,0.28610473543732473,0.3674081168503217,0.14163903363334912,0.1332685704746107,0.15044398103922793
gradient_boosting,age_band,[40-50),0.15,6840,507,6333,77,315,6018,430,392,0.05730994152046784,False,False,0.15187376725838264,0.12325906759918154,0.18572419148296088,0.04973945997157745,0.04465262662854988,0.05537219850549316
gradient_boosting,age_band,[40-50),0.2,6840,507,6333,40,148,6185,467,188,0.027485380116959064,False,False,0.07889546351084813,0.05847178535146372,0.10565244022381906,0.02336965103426496,0.019927727000024025,0.027389451561122363
gradient_boosting,age_band,[40-50),0.25,6840,507,6333,30,73,6260,477,103,0.015058479532163743,False,False,0.05917159763313609,0.04175923512200158,0.0832139003162921,0.011526922469603663,0.009178256733602013,0.014467823067261446
gradient_boosting,age_band,[50-60),0.05,12368,879,11489,725,7491,3998,154,8216,0.6642949547218628,False,False,0.8248009101251422,0.798272463524733,0.8485027805408843,0.6520149708416746,0.6432555100947963,0.6606728102005419
gradient_boosting,age_band,[50-60),0.1,12368,879,11489,323,1721,9768,556,2044,0.16526520051746443,False,False,0.36746302616609783,0.33623234609356606,0.3998471077290456,0.1497954565236313,0.14338698908211528,0.15643803427414354
gradient_boosting,age_band,[50-60),0.15,12368,879,11489,164,588,10901,715,752,0.06080206985769728,False,False,0.18657565415244595,0.16220566308387394,0.213673216985907,0.05117938898076421,0.04729783024257864,0.05536098246689038
gradient_boosting,age_band,[50-60),0.2,12368,879,11489,95,277,11212,784,372,0.030077619663648126,False,False,0.1080773606370876,0.08923146925994302,0.1303339542755907,0.02411001827835321,0.021460217178448815,0.02707794989010967
gradient_boosting,age_band,[50-60),0.25,12368,879,11489,63,142,11347,816,205,0.01657503234152652,False,False,0.07167235494880546,0.05641929407739093,0.09065293222486867,0.0123596483593002,0.01049614321549866,0.014549139089320515
gradient_boosting,age_band,[60-70),0.05,15758,1414,14344,1320,12152,2192,94,13472,0.8549308287853788,False,False,0.9335219236209336,0.9193273753533586,0.9453673282559854,0.8471834913552705,0.8412023337692417,0.8529787406861665
gradient_boosting,age_band,[60-70),0.1,15758,1414,14344,639,3479,10865,775,4118,0.2613275796420866,False,False,0.4519094766619519,0.4261342931830261,0.4779452502991348,0.2425404350250976,0.2355956602159359,0.249623073124662
gradient_boosting,age_band,[60-70),0.15,15758,1414,14344,315,1096,13248,1099,1411,0.08954182002792233,False,False,0.22277227722772278,0.20185134172800082,0.24519543834563237,0.07640825432236475,0.07217343351977668,0.08086989812860487
gradient_boosting,age_band,[60-70),0.2,15758,1414,14344,192,475,13869,1222,667,0.04232770656174641,False,False,0.13578500707213578,0.11891370634337517,0.15462989502887253,0.0331148912437256,0.030309342515102332,0.03617044551143014
gradient_boosting,age_band,[60-70),0.25,15758,1414,14344,128,227,14117,1286,355,0.022528239624317808,False,False,0.09052333804809053,0.07665643855113934,0.10660908609843624,0.01582543223647518,0.013908892826060996,0.018001235267752352
gradient_boosting,age_band,[70-80),0.05,17886,1824,16062,1730,14477,1585,94,16207,0.9061276976406127,False,False,0.9484649122807017,0.93734327146758,0.9577015323938729,0.9013198854439048,0.8966113391050842,0.9058365148118267
gradient_boosting,age_band,[70-80),0.1,17886,1824,16062,1030,5543,10519,794,6573,0.3674941294867494,False,False,0.5646929824561403,0.5418274822483397,0.5872865603624812,0.34510023658323996,0.3377860120896521,0.3524885363830016
gradient_boosting,age_band,[70-80),0.15,17886,1824,16062,502,1796,14266,1322,2298,0.12848037571284804,False,False,0.27521929824561403,0.25521136635008046,0.29617204491740656,0.11181671024778982,0.10703559224236396,0.11678346311414554
gradient_boosting,age_band,[70-80),0.2,17886,1824,16062,270,768,15294,1554,1038,0.05803421670580342,False,False,0.14802631578947367,0.13246897826389525,0.16506309498909655,0.04781471796787449,0.044621645537959456,0.051224031936672215
gradient_boosting,age_band,[70-80),0.25,17886,1824,16062,169,373,15689,1655,542,0.030303030303030304,False,False,0.09265350877192982,0.08018987886220558,0.10682932741033788,0.02322251276304321,0.02100483621817937,0.02566819119483582
gradient_boosting,age_band,[80-90),0.05,11264,1199,10065,1165,9344,721,34,10509,0.9329723011363636,False,False,0.9716430358632193,0.960636083168582,0.9796374597045329,0.9283656234475907,0.9231624658515392,0.933241921412491
gradient_boosting,age_band,[80-90),0.1,11264,1199,10065,716,4259,5806,483,4975,0.4416725852272727,False,False,0.5971643035863219,0.5691347106665066,0.6245732782719864,0.42314952806756084,0.4135285905418832,0.4328291054922748
gradient_boosting,age_band,[80-90),0.15,11264,1199,10065,325,1204,8861,874,1529,0.1357421875,False,False,0.27105921601334443,0.2466595919337613,0.2969211551596602,0.11962245404868356,0.11342722942037077,0.12610792153861347
gradient_boosting,age_band,[80-90),0.2,11264,1199,10065,198,474,9591,1001,672,0.05965909090909091,False,False,0.1651376146788991,0.1451964874846352,0.18721761072304716,0.04709388971684054,0.04312531226137691,0.05140805214936612
gradient_boosting,age_band,[80-90),0.25,11264,1199,10065,115,247,9818,1084,362,0.03213778409090909,False,False,0.09591326105087573,0.08051247104773415,0.11389507710076421,0.024540486835568802,0.021694374465115344,0.02774939330665404
gradient_boosting,age_band,[90-100),0.05,1806,168,1638,159,1497,141,9,1656,0.9169435215946844,False,False,0.9464285714285714,0.9013345443725481,0.9715630731722126,0.9139194139194139,0.8993492714889139,0.9265526404861869
gradient_boosting,age_band,[90-100),0.1,1806,168,1638,69,560,1078,99,629,0.34828349944629017,False,False,0.4107142857142857,0.33912735391403015,0.48629312257701773,0.3418803418803419,0.3193031658073545,0.3651974312405052
gradient_boosting,age_band,[90-100),0.15,1806,168,1638,26,109,1529,142,135,0.07475083056478406,False,False,0.15476190476190477,0.10785549521335905,0.21710368055202608,0.06654456654456654,0.055460640655925014,0.07965682615481012
gradient_boosting,age_band,[90-100),0.2,1806,168,1638,20,50,1588,148,70,0.03875968992248062,False,False,0.11904761904761904,0.078400937856095,0.17672642850570927,0.030525030525030524,0.023230221529669602,0.040016724917450584
gradient_boosting,age_band,[90-100),0.25,1806,168,1638,15,18,1620,153,33,0.018272425249169437,False,False,0.08928571428571429,0.054854709469902646,0.14207948238891757,0.01098901098901099,0.0069623005976613625,0.017304024635294776
